Date,Open,High,Low,Close,Volume,Turnover (? Cr)
09-Nov-15,7903.8,8068.4,7890.85,8044.45,294972687,11924.26
10-Nov-15,8009.1,8017.4,7896.7,7907.65,275281891,9744.58
11-Nov-15,7964.95,7973.45,7952.05,7956.4,31847545,1381.73
13-Nov-15,7895.35,7900.35,7853.55,7886.9,264081261,11076.44
16-Nov-15,7859.6,7948.05,7835.65,7917.45,226332965,9338.65
17-Nov-15,7961.3,7970.2,7907.15,7951.25,218479910,8566.68
18-Nov-15,7940.3,7961,7849.2,7855.25,211499146,8216.94
19-Nov-15,7910.5,7974.75,7888.65,7963.9,200290135,9698.01
20-Nov-15,7966.5,8030.4,7945.8,7984.85,226015077,9600.68
23-Nov-15,7999.95,8010.9,7959.15,7981.55,199184164,8306.42
24-Nov-15,7972.65,8006.1,7953.25,7968.6,222102083,9073.72
26-Nov-15,7976.85,8026.7,7976.85,8014.25,339458865,14431.9
27-Nov-15,8042.85,8082.55,8014,8067.9,235535000,9255.66
30-Nov-15,8064.3,8087.65,8046.65,8057.2,445347705,20015.34
01-Dec-15,8083.2,8099.7,8063.6,8087.5,222552149,9205.59
02-Dec-15,8109.4,8109.4,8046,8069.05,207292727,8574.25
03-Dec-15,8041.05,8049.85,7991.85,8002.3,238318609,8335.89
04-Dec-15,7955.8,7960.6,7916.8,7921.8,284593360,10383.06
07-Dec-15,7956.6,7964.45,7892.6,7908.65,216861299,8447.35
08-Dec-15,7881.5,7915.3,7827.4,7842,208078528,7908.09
09-Dec-15,7834.7,7839.15,7736.9,7742.25,221779534,8994.47
10-Dec-15,7774.3,7819.95,7736.55,7812.55,218843582,8851.41
11-Dec-15,7830.25,7830.55,7707.55,7740.15,252749267,9334.49
14-Dec-15,7691.7,7794.3,7685.75,7780.15,233041052,8567.25
15-Dec-15,7791.05,7835.65,7760.35,7832,199675630,8067.22
16-Dec-15,7858.9,7907.45,7849,7879.55,228816066,8816.83
17-Dec-15,7913.7,7986.1,7873.9,7978.1,264065281,9939.51
18-Dec-15,7963.4,7973.75,7900.6,7908.5,278839624,10811.28
21-Dec-15,7895.85,7982.8,7890.35,7978.9,181152270,7301.19
22-Dec-15,7976.05,7994.15,7925.75,7934.05,200798238,6805.89
23-Dec-15,7976.6,8012.8,7974.6,8008.65,175112927,6172.11
24-Dec-15,8032.45,8032.45,7981.25,8005.55,156832106,5245.82
28-Dec-15,8009.3,8074.35,8009.3,8064.3,172338486,7317.3
29-Dec-15,8070.2,8082.95,8046.45,8071.75,184103062,7175.18
30-Dec-15,8082.75,8084.05,8034.45,8039.8,165474564,6340.69
31-Dec-15,8044.4,8096.15,8039.3,8090.9,277621992,10695.43
01-Jan-16,8085.4,8126,8060.9,8118.15,119511770,4561.21
04-Jan-16,8082.35,8101.55,7948.6,7957.9,229291062,8682.34
05-Jan-16,7994.4,7997.85,7933.45,7959.85,238177923,8922.52
06-Jan-16,7964.1,7980.7,7898.6,7918.75,236986742,9772.11
07-Jan-16,7849.4,7849.4,7720.2,7731.65,281866849,10602.92
08-Jan-16,7776.15,7803.95,7748.05,7772.55,224645641,9120.89
11-Jan-16,7702.05,7770.3,7660.65,7726,262996606,9521.83
12-Jan-16,7749.8,7749.8,7652.3,7672.7,267389974,9366.45
13-Jan-16,7720.85,7747.95,7571.5,7712.45,334229722,12581.34
14-Jan-16,7615.9,7746.4,7587.3,7679.5,290753093,11605.52
15-Jan-16,7705.55,7706.95,7552.4,7562.1,285264776,10597.89
18-Jan-16,7546.6,7583.75,7442.7,7455.8,341142566,11211.82
19-Jan-16,7485.75,7568.6,7466.05,7542.65,276144639,9386.36
20-Jan-16,7465.1,7465.1,7340.95,7412.75,323152386,11306.52
21-Jan-16,7482.5,7507.25,7344.95,7370.15,359913308,12326.23
22-Jan-16,7451.65,7531.75,7422.4,7520.2,324035071,10197.11
25-Jan-16,7569.55,7586.8,7522.5,7533,234870136,8075.94
27-Jan-16,7566.05,7574.05,7514.8,7535.15,286345341,9753.38
28-Jan-16,7523.3,7561.6,7511.75,7518.95,397200320,13721.53
29-Jan-16,7512.4,7670.35,7511.95,7659.65,408773879,14333.98
01-Feb-16,7688.35,7695.55,7643.05,7657.7,278717070,10509.4
02-Feb-16,7669.6,7678.55,7520.95,7547.75,323948447,10824.13
03-Feb-16,7482.5,7510.4,7441.5,7452.05,281651701,9334.92
04-Feb-16,7507.05,7546.5,7447.55,7487.75,312089358,10121.98
05-Feb-16,7504.85,7600.75,7492.95,7587.7,340797833,11421.83
08-Feb-16,7591.95,7617.55,7477.6,7497.85,250818566,7927.42
09-Feb-16,7416.55,7431.35,7380.95,7395.75,316112871,10041.42
10-Feb-16,7364.05,7369.7,7270.85,7309.55,359998886,11449.75
11-Feb-16,7296.25,7297.85,7055,7068.85,417658029,12418.89
12-Feb-16,7117.3,7119.6,6950.4,7073,478643641,14591.25
15-Feb-16,7155.45,7284.45,7155.45,7266.2,469291084,12647.72
16-Feb-16,7301.55,7302.1,7129.5,7138.8,351609181,9931.76
17-Feb-16,7149.05,7207.6,7040,7194.4,375433049,10518.66
18-Feb-16,7264.45,7298.75,7207,7271.6,342243422,10258.67
19-Feb-16,7251.55,7301.55,7227.95,7288.5,277178130,8093.75
22-Feb-16,7292.35,7331.25,7284.85,7317.1,223943317,7709.71
23-Feb-16,7324.9,7324.9,7187,7197.45,293748103,8784.97
24-Feb-16,7164.05,7174.2,7097.25,7105.3,301239470,8717.61
25-Feb-16,7117.5,7118.3,7049.8,7058.85,423551351,12585.71
26-Feb-16,7128.5,7141.75,7071.8,7117.3,290212962,9290.79
29-Feb-16,7138.15,7183.6,6924.4,7083.95,605769747,19392.3
01-Mar-16,7132.05,7333.7,7132.05,7320.8,376429374,12642.16
02-Mar-16,7416.95,7475.05,7407.3,7460.85,446830587,14006.62
03-Mar-16,7519.3,7567.85,7492.25,7560.2,375095745,11973.06
04-Mar-16,7589.2,7594.55,7534.7,7578.55,388545761,10790.82
08-Mar-16,7579.65,7624.05,7537.15,7580.35,360345543,11267.45
09-Mar-16,7533.5,7629.5,7518.85,7622.9,351374615,11693.15
10-Mar-16,7637.3,7638.6,7545.05,7579.05,309687869,11343.98
11-Mar-16,7577.3,7635.65,7554.8,7603.1,280860387,10158.93
14-Mar-16,7637.55,7675.45,7607.3,7631,237139906,8382.3
15-Mar-16,7629.45,7629.45,7544.95,7552.85,267486799,9936.23
16-Mar-16,7548.6,7588,7487.25,7580.4,273695024,9461.58
17-Mar-16,7640.8,7668.15,7570.65,7601.75,333806453,12210.78
18-Mar-16,7622.45,7692.3,7601.7,7686.6,330435601,12769
21-Mar-16,7703.05,7797.65,7703.05,7789.25,286080480,10730.5
22-Mar-16,7784.3,7814.3,7732.75,7803.1,302731909,11257.91
23-Mar-16,7806.2,7815.65,7762.05,7806.3,280173537,9731.1
28-Mar-16,7829.75,7830.15,7676.5,7701.9,324184518,12013.72
29-Mar-16,7692.8,7737.8,7664.95,7686.05,300816676,12694.15
30-Mar-16,7739.05,7828.95,7733.85,7822.9,322744653,12508.96
31-Mar-16,7818.55,7859.15,7792.15,7832.15,538220262,20183.83
01-Apr-16,7812.35,7836.7,7764.85,7810.7,293025056,10106.29
04-Apr-16,7833.2,7858.35,7802.55,7853.1,248402728,8254.32
05-Apr-16,7830.05,7830.05,7689.4,7701.7,313617147,10536.02
06-Apr-16,7732.1,7732.8,7690.45,7718.45,275464320,9125.06
07-Apr-16,7736.1,7736.1,7644.6,7655.1,325842217,9405.34
08-Apr-16,7650.95,7678.25,7635.6,7668.4,223881380,7552.09
11-Apr-16,7689.85,7785.15,7633.45,7778.6,278448057,9032.7
12-Apr-16,7779.4,7827.65,7774.85,7819.4,257471313,9145.02
13-Apr-16,7887.35,7968.7,7887.35,7954.6,348266085,12711.71
18-Apr-16,8004.9,8027.75,7948.7,8022.3,288595065,12752.39
20-Apr-16,8056.85,8056.85,7988.7,8023.95,350501769,13065.3
21-Apr-16,8063.2,8086.65,7993.65,8021.25,353428551,12317.93
22-Apr-16,8003.3,8035.45,7986.7,8012.15,304836648,9927.22
25-Apr-16,8007.4,8020.85,7940.15,7966.4,237721343,9341.37
26-Apr-16,7942.05,8077.15,7934.65,8066.25,315279155,12208.15
27-Apr-16,8048.75,8097.1,8048.4,8084.75,347072106,11556.45
28-Apr-16,8075.5,8098.55,7945.2,7956.2,471059111,18130.45
29-Apr-16,7954.75,7999.2,7899.6,7963.65,426028305,12308.81
02-May-16,7939.9,7960.05,7909.05,7945.25,329727964,8803.6
03-May-16,7965.9,8024.8,7872.1,7882.25,311201703,11509.17
04-May-16,7858,7877.85,7818.35,7828.15,317078802,10089.22
05-May-16,7852.1,7895.65,7824.75,7854.75,296769475,10537.66
06-May-16,7839.85,7864.05,7803.05,7859.45,258824116,8140.2
09-May-16,7882.7,7991,7882.7,7982.8,238002284,9479.03
10-May-16,7990.65,8012.75,7956.85,8001.95,248171599,9324.51
11-May-16,7918.65,8010.65,7895.95,7969.55,349344711,11566.19
12-May-16,7992.6,8036.25,7976.6,8026.4,242471572,9493.79
13-May-16,8008.3,8012.55,7917.75,7941.5,280856568,12508.35
16-May-16,7958.75,7992.55,7899.8,7979.95,296598656,9709.38
17-May-16,8016,8055.25,7997.05,8006.5,288875604,10919.94
18-May-16,7965.25,8000.25,7929.65,7989.05,290275923,9787.67
19-May-16,7994.8,7994.8,7885,7900.2,278717525,9578.01
20-May-16,7911.5,7929.2,7849.7,7863.35,247880788,8794.99
23-May-16,7924.85,7925.85,7838.05,7844.6,246618846,8966.99
24-May-16,7852.35,7868.9,7825.5,7857,256451681,8805.31
25-May-16,7919.6,8036.45,7919.4,8029.85,307076578,10820.36
26-May-16,8066.5,8170.65,8042.5,8159.05,439150180,16163.11
27-May-16,8173.5,8260.7,8173.5,8251.9,400676887,14381.01
30-May-16,8265.15,8297,8245.75,8276.1,372027711,11466.11
31-May-16,8305.45,8305.45,8230.05,8254.8,809199588,28523.06
